"word","freq"
"that one of the",23
"that would have been",23
"the back of my",23
"the fact that it",23
"the first time the",23
"the future of the",23
"the north dakota township",23
"to all of our",23
"to all of you",23
"to make sure the",23
"to see you at",23
"to talk to you",23
"to think about it",23
"u s district court",23
"until the end of",23
"wait to see the",23
"we need to get",23
"you might want to",23
"you want me to",23
"you want to see",23
"11 a m to",22
"a great place to",22
"a trip to the",22
"a wide variety of",22
"all i can say",22
"and all of the",22
"and i think i",22
"and thanks for the",22
"and you have to",22
"are you talking about",22
"at the hands of",22
"at the u s",22
"at this point i",22
"be able to see",22
"be interesting to see",22
"call call call call",22
"cant wait to see",22
"couple of weeks ago",22
"for a lot of",22
"for the u s",22
"from the u s",22
"from the university of",22
"hope everyone has a",22
"i hate it when",22
"i have to admit",22
"i love it when",22
"i need to do",22
"i think i'm going",22
"i was a kid",22
"i’m not going to",22
"in a good way",22
"in a lot of",22
"in need of a",22
"in the end i",22
"in the parking lot",22
"in the past year",22
"is it just me",22
"is not going to",22
"is the first time",22
"it was just a",22
"keep an eye on",22
"know what i mean",22
"like a lot of",22
"looking forward to a",22
"new york n y",22
"no matter how much",22
"of the things that",22
"on the basis of",22
"on the corner of",22
"one of my favourite",22
"one of the main",22
"p m at the",22
"so i can get",22
"take the time to",22
"that most of the",22
"that you have to",22
"the middle of a",22
"the past few weeks",22
"there has been a",22
"think it would be",22
"this is a good",22
"thought it was a",22
"to be at the",22
"to get back on",22
"to get to know",22
"to get up and",22
"to get used to",22
"to go to a",22
"to go to bed",22
"to try to get",22
"u s supreme court",22
"what to do with",22
"why is it that",22
"will be the first",22
"with the fact that",22
"won't be able to",22
"would like to see",22
"would love to have",22
"5 30 p m",21
"9 a m to",21
"a couple of times",21
"a long way to",21
"am looking forward to",21
"and it will be",21
"and of course the",21
"and there is no",21
"as far as the",21
"as long as the",21
"as soon as the",21
"at 6 p m",21
"at 8 p m",21
"at the time i",21
"been one of the",21
"but i don't know",21
"by the time the",21
"come to an end",21
