"word","freq"
"sending",248
"apartment",247
"criminal",247
"golf",247
"angry",246
"appears",246
"hundreds",246
"partner",246
"passion",246
"remaining",246
"sexy",246
"associated",245
"aware",245
"bills",245
"flying",245
"joke",245
"loud",245
"measure",245
"neither",245
"pack",245
"comedy",244
"horse",244
"mexico",244
"moon",244
"newark",244
"europe",243
"grace",243
"illinois",243
"provides",243
"salad",243
"attend",242
"breaking",242
"discuss",242
"feelings",242
"increased",242
"mother's",242
"org",242
"pan",242
"seek",242
"yellow",242
"blues",241
"dancing",241
"debate",241
"decade",241
"failure",241
"miller",241
"option",241
"revenue",241
"seeking",241
"sexual",241
"smell",241
"struck",241
"’",240
"animals",240
"funds",240
"impossible",240
"shape",240
"tweeting",240
"waste",240
"adults",239
"blame",239
"brian",239
"comfortable",239
"heads",239
"mass",239
"pounds",239
"prize",239
"suddenly",239
"tied",239
"vacation",239
"effective",238
"harder",238
"meanwhile",238
"shown",238
"they've",238
"unit",238
"village",238
"actual",237
"admit",237
"challenges",237
"davis",237
"direct",237
"drinks",237
"generally",237
"lee",237
"terrible",237
"tight",237
"allows",236
"anywhere",236
"feb",236
"injuries",236
"memories",236
"plain",236
"suit",236
"truck",236
"william",236
"youtube",236
"anybody",235
"click",235
"directly",235
"lay",235
"massive",235
"mile",235
"millions",235
"reduce",235
"tony",235
"ages",234
"boyfriend",234
"chapter",234
"everywhere",234
"heights",234
"proposal",234
"tears",234
"active",233
"approved",233
"chair",233
"chairman",233
"connection",233
"deserve",233
"ingredients",233
"ipad",233
"pleasure",233
"trail",233
"vision",233
"whenever",233
"writers",233
"countries",232
"desire",232
"doctors",232
"eggs",232
"markets",232
"passing",232
"pot",232
"prefer",232
"professor",232
"recommend",232
"staying",232
"vice",232
"y'all",232
"choices",231
"cutting",231
"doors",231
"sets",231
"egg",230
"equipment",230
"jail",230
"ceo",229
"colors",229
"jan",229
"jazz",229
"lights",229
"obvious",229
"peter",229
"accused",228
"bear",228
"city's",228
"foods",228
"hitting",228
"individuals",228
"leads",228
"math",228
"separate",228
"state's",228
"advance",227
"conditions",227
"customer",227
"entertainment",227
"mail",227
"pray",227
"smaller",227
"somehow",227
"storm",227
"arm",226
"besides",226
"cheap",226
"couldn’t",226
"ending",226
"hungry",226
"sleeping",226
"suggested",226
"taylor",226
"threw",226
"worried",226
"believes",225
"exchange",225
"illegal",225
"silver",225
"windows",225
"edge",224
"era",224
"european",224
"happiness",224
"investors",224
"zone",224
"crap",223
"dish",223
"driver",223
"mental",223
"opportunities",223
"plastic",223
"posting",223
"religious",223
"stood",223
"alex",222
"apply",222
"colorado",222
"concerns",222
"consumer",222
"dallas",222
"deals",222
"emotional",222
"guests",222
"sept",222
"stayed",222
"views",222
"atlanta",221
"behavior",221
"farm",221
"limit",221
"route",221
"violence",221
"♥",220
"drugs",220
"fifth",220
"operations",220
"pants",220
"pepper",220
"pic",220
"ugly",220
"awards",219
"blessed",219
"cleaning",219
"clients",219
"figures",219
"forest",219
"moves",219
"plane",219
"responsible",219
"“we",218
"coverage",218
"entered",218
"fail",218
"fired",218
"highest",218
"male",218
"paris",218
"phoenix",218
"print",218
"quote",218
"awkward",217
