"word","freq"
"to change",334
"we got",334
"would love",334
"them in",333
"about this",332
"before i",332
"of me",332
"the real",332
"use the",332
"why i",332
"i said",331
"it comes",331
"the kids",331
"- the",330
"a different",329
"next year",329
"no matter",329
"the ball",329
"just like",328
"to leave",328
"and as",327
"on friday",327
"and one",326
"as if",326
"happy to",326
"the family",326
"this season",326
"was on",326
"day to",325
"i haven't",325
"well i",325
"be there",324
"but if",324
"i started",324
"in love",324
"along the",323
"and your",323
"he says",323
"his wife",323
"long as",323
"and its",322
"needed to",322
"which was",322
"how do",321
"in some",321
"that in",321
"that my",321
"to eat",321
"would not",321
"and make",320
"excited to",320
"he did",320
"may not",319
"might have",319
"my head",319
"which i",319
"do a",318
"just the",318
"list of",318
"people in",318
"the good",318
"use of",318
"and are",317
"my mind",317
"today i",317
"ability to",315
"that's a",315
"the car",315
"the government",315
"who had",315
"day i",314
"san francisco",314
"see it",314
"the third",314
"” he",313
"among the",313
"for example",313
"said they",313
"we could",313
"even more",312
"for him",312
"it's been",312
"know if",312
"long time",312
"social media",312
"to run",312
"to sleep",312
"find out",311
"in it",311
"the american",311
"good to",310
"have any",310
"he will",310
"it with",310
"the biggest",310
"and no",309
"and had",308
"but in",308
"the very",308
"things that",308
"thinking about",308
"a more",307
"are all",307
"made the",307
"me know",307
"me the",307
"every time",306
"the main",306
"we should",306
"but this",305
"director of",305
"a bad",304
"an hour",304
"and on",304
"is about",304
"think it",304
"make me",303
"of being",303
"a second",302
"are still",302
"hope to",302
"so you",302
"the law",302
"with us",302
"you i",302
"as long",301
"i believe",301
"is very",301
"something that",301
"is all",300
"the point",300
"year and",300
"sure to",299
"the federal",299
"the name",299
"we don't",299
"after all",298
"i might",298
"me on",298
"more of",297
"when a",297
"with him",297
"you may",297
"a woman",296
"a wonderful",296
"it just",296
"same time",296
"that have",296
"time of",296
"i say",295
"my friend",295
"on saturday",295
"out with",295
"right to",295
"university of",295
"one that",294
"the worst",294
"yes i",294
"a single",293
"over a",293
"that's what",293
"would you",293
"the bottom",292
"they would",292
"through a",292
"you too",292
"be more",291
"he could",291
"that can",291
"that if",291
"easy to",290
"see a",290
"type of",290
"was to",290
"the university",289
"told the",289
"up at",289
"was one",289
"where you",289
"but there",288
"i felt",288
"is more",288
"you so",288
"all about",287
"little bit",287
"proud of",287
"so excited",287
"to spend",287
"work on",287
"you might",287
"deal with",286
"get out",286
"in addition",286
"what to",286
"sounds like",285
"to them",285
"willing to",285
"group of",284
"not in",284
"of life",284
"one thing",284
"so it",284
"was that",284
"years of",284
"become a",283
"did i",283
"end up",283
"that could",283
"the board",283
"the sun",283
"with no",283
"like you",282
"only a",282
"the door",282
"they don't",282
"think the",282
"i wonder",281
"miss you",281
"about that",280
"come on",280
"on and",280
"see how",280
"the truth",280
"the week",280
"we want",280
"and with",279
"from his",279
"the movie",279
"her to",278
"it does",278
"members of",278
"my friends",278
"of new",278
"opportunity to",278
"they do",278
"believe that",277
"can make",277
"focus on",277
"rt i",277
"the group",277
"the weekend",277
"with them",277
"you had",277
"but when",276
"do this",276
"had no",276
"the latest",276
"the number",276
"the problem",276
"come back",275
"home and",275
"how you",275
"piece of",275
"the ground",275
"not going",274
"then the",274
"to let",274
"a real",273
"down and",273
"your life",273
"and see",272
"out that",272
"will get",272
"at work",271
"gonna be",271
"i'm just",271
"i remember",271
"it’s a",271
"pick up",271
"these are",271
"too many",271
"where he",271
"while i",271
"work and",271
"about what",270
"go on",270
"is there",270
"throughout the",270
"took a",270
"am not",269
"and said",268
"come out",268
"is like",268
"plans to",268
"president of",268
"a game",267
"be an",267
"coming to",267
"his first",267
"keep the",267
"to ask",267
"- and",266
"because he",266
"the area",266
"the event",266
"the process",266
"and just",265
"at that",265
"get back",265
"no more",265
"on how",265
"plenty of",265
"to become",265
"today is",265
"we just",265
"a place",264
"i find",264
"i go",264
"set up",264
"the internet",264
"the things",264
"to check",264
"way of",264
"you the",264
"be at",263
"go back",263
"it could",263
"just to",263
"made me",263
"the film",263
"a month",262
"day in",262
"have had",262
"how it",262
"is being",262
"is for",262
"the money",262
"to call",262
"30 p",261
"and be",261
"likely to",261
"will never",261
"i wanna",260
"is your",260
"much for",260
"now and",260
"the street",260
"the water",260
"back on",259
"but she",259
"i decided",259
"life and",259
"were the",259
"department of",258
"a book",257
"been in",257
"it had",257
"known as",257
"love that",257
"a job",256
"behind the",256
"how are",256
"it doesn't",256
"me up",256
"see that",256
"some people",256
"were not",256
"version of",255
"- i",254
"as she",254
"he also",254
"i took",254
"know it",254
"many people",254
"my husband",254
"the work",254
"welcome to",254
"work with",254
"have not",253
"have some",253
"something to",253
"than i",253
"to us",253
"work in",253
"years and",253
"in to",252
"pretty much",252
"we love",252
"with our",252
"one in",251
"that's the",251
"the power",251
"a really",250
"addition to",250
"great day",250
"is good",250
"on an",250
"one is",250
"we get",250
"we would",250
"a free",249
"for one",249
"has not",249
"i dont",249
"it also",249
"on monday",249
"the air",249
"the person",249
"these days",249
"watching the",249
"what happened",249
"could not",248
"the lord",248
"was no",248
"will take",248
"few days",247
"him in",247
"the county",247
"within the",247
"get my",246
"plan to",246
"the front",246
"i'm in",245
"it makes",245
"not that",245
"read the",245
"they could",245
"time with",245
"a beautiful",244
"a group",244
"a part",244
"health care",244
"in other",244
"middle of",244
"so good",244
"where they",244
"all this",243
"good for",243
"is always",243
"me too",243
"say the",243
"there and",243
"there will",243
"a major",242
"but then",242
"during a",242
"here and",242
"million in",242
"my way",242
"not so",242
"on thursday",242
"the police",242
"he can",241
"its own",241
"this month",241
"trip to",241
"you got",241
"but also",240
"few years",240
"for years",240
"half of",240
"i look",240
"i told",240
"place to",240
"san diego",240
"talking to",240
"a special",239
"an amazing",239
"in 2008",239
"in any",239
"lol i",239
"next time",239
"place in",239
"the room",239
"-- and",238
"care of",238
"give me",238
"love and",238
"the former",238
"access to",237
"here are",237
"of how",237
"of things",237
"the field",237
"the moment",237
"they want",237
"about my",236
"also a",236
"for following",236
"great to",236
"is really",236
"over to",236
"the hospital",236
"the music",236
"the years",236
"and let",235
"any other",235
"be sure",235
"get your",235
"please follow",235
"put the",235
"that had",235
"the office",235
"and our",234
"at me",234
"in 2010",234
"in san",234
"me for",234
"my family",234
"not even",234
"see if",234
"the current",234
"the original",234
"the rt",234
"were a",234
"even the",233
"last month",233
"to provide",233
"to turn",233
"won the",233
"you feel",233
"and at",232
"i may",232
"i’m not",232
"it takes",232
"put it",232
"the court",232
"time the",232
"were in",232
"because you",231
"called the",231
"find the",231
"give you",231
"on top",231
"other than",231
"so they",231
"the job",231
"though i",231
"will make",231
"figure out",230
"member of",230
"the beginning",230
"the white",230
"thousands of",230
"to pick",230
"was very",230
"are just",229
"if your",229
"on me",229
"on sunday",229
"pay for",229
"the little",229
"two of",229
"was also",229
"you go",229
"a number",228
"am so",228
"as part",228
"don’t know",228
"follow back",228
"involved in",228
"let us",228
"the food",228
"will do",228
"a team",227
"friends and",227
"idea of",227
"know you",227
"the kind",227
"thought i",227
"to build",227
"wake up",227
"you on",227
"and two",226
"or so",226
"thought it",226
"to add",226
"why do",226
"without a",226
"a guy",225
"” said",225
"are some",225
"came out",225
"give up",225
"is at",225
"it's just",225
"let the",225
"must have",225
"the summer",225
"a pretty",224
"be so",224
"come in",224
"each of",224
"nice to",224
"or even",224
"over and",224
"the following",224
"thing i",224
"two weeks",224
"including the",223
"near the",223
"of any",223
"people and",223
"the president",223
"things i",223
"to some",223
"which has",223
"your favorite",223
"a child",222
"a former",222
"attempt to",222
"look forward",222
"quite a",222
"the news",222
"took the",222
"won't be",222
"you love",222
"you that",222
"a person",221
"bunch of",221
"family and",221
"of which",221
"on wednesday",221
"soon as",221
"us and",221
"is only",220
"no idea",220
"shout out",220
"that makes",220
"the ones",220
"the perfect",220
"who were",220
"and of",219
"filled with",219
"here i",219
"that were",219
"to join",219
"very much",219
"we know",219
"enjoy the",218
"get in",218
"i didn’t",218
"join us",218
"my phone",218
"on tuesday",218
"someone who",218
"days of",217
"do something",217
"him a",217
"i read",217
"it’s not",217
"to visit",217
"way i",217
"work for",217
"-- the",216
"didn't know",216
"or two",216
"three years",216
"to what",216
"ice cream",215
"the church",215
"the question",215
"today and",215
"a full",214
"for sure",214
"getting a",214
"it took",214
"love with",214
"my dad",214
"now the",214
"starting to",214
"the early",214
"a strong",213
"as to",213
"for another",213
"form of",213
"i'm sure",213
"it so",213
"on facebook",213
"the community",213
"a young",212
"and do",212
"do is",212
"go out",212
"hundreds of",212
"saw the",212
"that i'm",212
"the project",212
"create a",211
"don't get",211
